NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ESCOLA;TP_ENSINO;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
180007197115;2018;2;F;0.0;3;1;1;1.0;1.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;447.0;452.0;456.0;459.0;570.2;541.8;579.5;513.3;BDCCBDCAEEAABAEBABBDBCADDEBBAAACCEDAECEAAAECE;CBACAEEDAEAECCCBDDEDBAAAADDBEDCCEBDDCDCBCAAAA;BBDCC99999DBBADEEACADAECCABECBCDBACBEACBDCEEDDCECE;BDEABADDDDDECCEAAAAEEEECDDCACABCCCCEEBDEDCBAE;0;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1.0;160.0;120.0;140.0;160.0;140.0;720.0;B;C;A;B;6;B;A;B;D;A;B;B;A;B;A;A;A;A;B;B;A;C;A;A;A
180007200013;2018;3;M;0.0;1;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;447.0;452.0;456.0;459.0;561.0;639.2;623.7;717.9;AADBAAAAAEABCDBBCCCCEBABDCDACCDEBADCCDCEEAABC;BEADAABBCCAABCAEEEECBDDEBCEAAAAABBDDECBBBDECC;BBEDC99999BBEADCCBECDBCADCBACCCBBEAADADBDDBACDADCB;ABCBDCEDEDADBADBBDDEDEBADAEECDAAADBEEBBBBDEBB;0;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1.0;160.0;180.0;160.0;160.0;120.0;780.0;B;G;A;D;7;D;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;B;A
180007203945;2018;3;F;0.0;1;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;447.0;452.0;456.0;459.0;375.0;448.7;401.1;482.8;EECAABDDEACEBEABDEBDABDEDEDDEAACDECCCCCCABAAC;CAACAEBEDAAECABADCBCEDEEDCDDCDABDABCABACAEBBB;99999CECECEAAEBECAEABADBBBABDBCEABDAEACDBABBBAEAEA;CDAABECEEDBACACECBAABBDAACAABDABCDCAEDABCCBBD;1;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1.0;120.0;120.0;120.0;120.0;100.0;580.0;B;B;F;F;7;B;A;A;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
180007204616;2018;3;F;0.0;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;449.0;451.0;455.0;462.0;454.7;450.9;471.1;593.1;ECAEACBDAECBDADCBDECDAADDBACBEBACBBECAADEDCEA;BDBEDABECBBCEABDBDECDABBDBAEEABAEEBCDDBAADAEC;ADCBC99999DECCEBACEAABDCCABEDABDAACECCBECABCBADEAE;DDAABDCBCAEABBDAACADBCDEABBDCEEBAECCADDABBEAC;0;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1.0;100.0;40.0;40.0;100.0;40.0;320.0;E;E;B;B;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
180007204831;2018;2;F;0.0;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;447.0;452.0;456.0;459.0;474.5;455.5;477.0;434.2;DDDCAECCABBACBDABCBDACADCAEBAECDEECBACDCDECCA;AEECCBADAEDCBAEADBAABAECDCEEDCADEEBCBDEABEABE;99999CBEDAECEEBBBCAAECBAEBBADAEDABCBDEADABCAEADBED;EECCCBDEEABADCDADAAECCAAEDBCEEDEBACAAACDDCBBC;1;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1.0;80.0;40.0;40.0;100.0;0.0;260.0;D;F;B;D;4;C;A;C;C;A;B;B;A;A;A;A;A;A;C;B;A;D;A;B;B
180007209379;2018;2;F;0.0;3;1;4;1.0;4.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;447.0;452.0;456.0;459.0;606.5;641.8;405.8;671.7;BCDDEBBADECCCEDDADBAEBAEBCDCDACEACCCEADEBABBD;ABBCAECBEAACDCDADEEEBDDECAECDABAEBDDAEADAAECB;BBEAC99999EEADDCBAAEEECBBBCAECCDBAEAEDBEEEBACBADCB;ACDDCBEBBAAAAAEBCCBC.CEAD.EEDEECBAABCDDDAEAAA;0;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1.0;140.0;160.0;140.0;120.0;80.0;640.0;F;G;D;D;3;H;A;B;C;A;B;B;A;B;A;B;A;A;B;A;A;B;A;A;B
180007209447;2018;1;M;0.0;2;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;447.0;452.0;456.0;459.0;404.3;525.5;364.1;494.5;ACDCEAAECDCAACCDCCD*CEDCCBBCDECDBABABABCDEABC;CDEAAEECCEABEADADBECEAADADBCEBAAAEECDECDBDCDC;DDCBE99999ABCDEABEAABEBBCAAABCCABCDEABCDEABCDEABCD;AAAAABBBBBCCCCCDDDDDEEEEEBABCDCACDEDCBABCDEEE;0;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1.0;60.0;40.0;40.0;80.0;20.0;240.0;E;E;C;D;5;B;A;B;D;A;B;B;A;C;A;A;A;A;D;B;A;C;A;B;A
180007218906;2018;2;F;0.0;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;449.0;451.0;455.0;462.0;395.0;521.8;448.8;480.3;ECCADDDCAACBBEBDCBEDDBBADECACEACCAEAAEEAEEBEA;AECECBBEEBEADEEAABECEDCCDAECBBBACEECBBABCDCDE;99999DAAECDCCEADADBDBCCACDDABEDBEECBEABABDBECEBADB;BCCEECEEAEEBCEEDAACADCAEDAECBEBBDAEBADCBDCDBD;1;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1.0;140.0;40.0;40.0;140.0;40.0;400.0;A;D;C;C;3;D;A;B;C;B;A;B;A;B;A;A;A;A;B;B;A;D;A;A;B
180007220474;2018;4;F;0.0;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;449.0;451.0;455.0;462.0;389.2;446.4;490.2;441.1;ECECADEDDCBBDAADACDADEBDBADACDBEAABABBEBAEDEB;DABCBBCEEEBACBEDAECDEBBACCBAEBABDBDCEAACBBBBE;99999DCCDECDBDCADDBDACECAADAADCAAAEBAEACDCAABADABD;BCCECEDDDDBBCAEDABBAECECBDCADBBDBCADCBACDACBD;1;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1.0;80.0;40.0;40.0;80.0;20.0;260.0;E;D;C;B;12;B;A;B;C;A;A;B;B;B;B;A;A;A;B;A;A;D;A;A;A
180007222716;2018;2;M;0.0;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1.0;1.0;1.0;1.0;450.0;453.0;458.0;461.0;418.4;403.6;341.6;568.5;DBBBEECCAACBCABBDCBCACCDBBAEBDAEBDDEEBCCBDAEB;CAAACABBCDBBECABBBBACCBACECBDCBDAAAEDBCCCBCCB;EBBEB99999BBAEBCBBBCAABCACBBABBCBAACDCEADCDBAAADAA;BCBCCECCCDCEABBBECAEBBADACBAAAABBABCDCCCAAAAE;0;ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB;ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE;BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED;EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX;1.0;100.0;100.0;80.0;120.0;40.0;440.0;C;C;B;B;3;B;A;C;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
